True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat,,,,,t=-3.61 p=3.50e-04 q=1.98e-03 d=0.40,,,,,,t=5.71 p=2.51e-08 q=3.72e-07 d=0.62,t=-7.76 p=1.08e-13 q=3.82e-12 d=0.84
stethoscope,,,,t=-2.76 p=6.06e-03 q=2.22e-02 d=0.30,t=-2.54 p=1.16e-02 q=3.70e-02 d=0.27,,,t=2.56 p=1.09e-02 q=3.56e-02 d=0.28,,,,t=-3.05 p=2.53e-03 q=1.04e-02 d=0.32
jeans,,,,,,,t=3.19 p=1.58e-03 q=6.94e-03 d=0.35,t=4.93 p=1.29e-06 q=1.35e-05 d=0.54,t=2.96 p=3.26e-03 q=1.28e-02 d=0.33,t=4.09 p=5.62e-05 q=4.24e-04 d=0.46,,t=-2.90 p=3.95e-03 q=1.52e-02 d=0.32
cardigan,,,t=3.62 p=3.49e-04 q=1.98e-03 d=0.40,,,t=2.94 p=3.47e-03 q=1.36e-02 d=0.32,t=4.09 p=5.34e-05 q=4.07e-04 d=0.45,t=3.48 p=5.71e-04 q=2.98e-03 d=0.38,t=3.32 p=1.01e-03 q=4.86e-03 d=0.36,t=3.24 p=1.33e-03 q=6.02e-03 d=0.35,,t=-12.29 p=9.28e-28 q=1.89e-25 d=1.28
miniskirt,,,,,,,,t=2.70 p=7.19e-03 q=2.56e-02 d=0.29,t=3.10 p=2.12e-03 q=9.08e-03 d=0.34,,,t=-5.20 p=3.59e-07 q=4.18e-06 d=0.55
academicgown,,t=-3.28 p=1.17e-03 q=5.49e-03 d=0.37,,,,,,,t=-2.56 p=1.10e-02 q=3.58e-02 d=0.29,,t=2.64 p=8.82e-03 q=3.04e-02 d=0.29,t=-11.06 p=8.85e-23 q=9.03e-21 d=1.29
pajamas,,,,,,t=3.42 p=7.12e-04 q=3.59e-03 d=0.37,,,,,,t=-9.87 p=1.94e-19 q=1.21e-17 d=1.02
oscilloscope,,,,,t=-3.92 p=1.10e-04 q=7.54e-04 d=0.43,,t=4.28 p=2.53e-05 q=2.04e-04 d=0.48,,t=3.26 p=1.25e-03 q=5.75e-03 d=0.36,t=3.66 p=2.94e-04 q=1.74e-03 d=0.39,t=3.75 p=2.11e-04 q=1.31e-03 d=0.40,t=12.23 p=2.16e-27 q=2.70e-25 d=1.27
suit,,,,,,,t=4.61 p=6.15e-06 q=5.70e-05 d=0.52,t=4.51 p=9.81e-06 q=8.99e-05 d=0.52,,t=3.77 p=1.96e-04 q=1.22e-03 d=0.41,t=7.88 p=5.07e-14 q=1.97e-12 d=0.86,
notePC,,,,,t=-3.94 p=9.83e-05 q=6.86e-04 d=0.43,,,t=2.55 p=1.12e-02 q=3.62e-02 d=0.29,,,t=2.58 p=1.02e-02 q=3.39e-02 d=0.29,t=6.37 p=6.47e-10 q=1.35e-08 d=0.69
sunscreen,,,,,t=-3.85 p=1.45e-04 q=9.52e-04 d=0.41,,,t=5.97 p=6.27e-09 q=1.04e-07 d=0.65,t=3.10 p=2.12e-03 q=9.08e-03 d=0.34,,,t=-6.09 p=3.28e-09 q=5.95e-08 d=0.67
wig,,,,,,,t=5.36 p=1.66e-07 q=2.09e-06 d=0.60,t=5.09 p=6.26e-07 q=7.09e-06 d=0.57,t=4.07 p=5.89e-05 q=4.41e-04 d=0.45,t=5.98 p=5.88e-09 q=1.00e-07 d=0.66,,
lipstick,,,t=-2.62 p=9.20e-03 q=3.11e-02 d=0.29,t=-2.70 p=7.35e-03 q=2.60e-02 d=0.30,,t=-2.85 p=4.66e-03 q=1.77e-02 d=0.31,,t=3.65 p=3.08e-04 q=1.81e-03 d=0.40,,t=6.88 p=3.07e-11 q=8.34e-10 d=0.75,t=4.42 p=1.32e-05 q=1.15e-04 d=0.48,
bra,,,,,t=-2.63 p=8.89e-03 q=3.05e-02 d=0.28,,,,,,,t=-7.22 p=3.64e-12 q=1.19e-10 d=0.78
windsor,,t=-2.71 p=7.15e-03 q=2.56e-02 d=0.31,,,,t=2.82 p=5.17e-03 q=1.93e-02 d=0.32,t=4.78 p=2.90e-06 q=2.82e-05 d=0.55,t=6.30 p=1.31e-09 q=2.66e-08 d=0.72,,t=3.79 p=1.78e-04 q=1.13e-03 d=0.42,t=3.81 p=1.68e-04 q=1.08e-03 d=0.43,
desk,,,,,,,t=2.59 p=1.01e-02 q=3.37e-02 d=0.29,,,,,t=5.22 p=3.18e-07 q=3.86e-06 d=0.56
library,,,,,,,,,,,t=3.32 p=1.00e-03 q=4.83e-03 d=0.36,t=3.04 p=2.58e-03 q=1.05e-02 d=0.33
