True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat,,,,t=-2.57 p=1.07e-02 q=3.53e-02 d=0.28,,,,t=12.16 p=3.02e-28 q=1.02e-25 d=1.34,t=3.49 p=5.93e-04 q=3.04e-03 d=0.41,,,t=12.44 p=9.07e-29 q=7.40e-26 d=1.31
stethoscope,,,,t=-2.86 p=4.50e-03 q=1.72e-02 d=0.31,,,,t=6.06 p=3.84e-09 q=6.67e-08 d=0.66,t=3.53 p=4.97e-04 q=2.67e-03 d=0.40,,,
jeans,,,,,,,,,t=2.82 p=5.21e-03 q=1.93e-02 d=0.32,,,
cardigan,,,,t=-2.56 p=1.10e-02 q=3.58e-02 d=0.28,t=2.49 p=1.33e-02 q=4.16e-02 d=0.27,,t=-4.46 p=1.14e-05 q=1.03e-04 d=0.49,t=4.27 p=2.56e-05 q=2.05e-04 d=0.47,t=8.96 p=3.12e-17 q=1.82e-15 d=1.00,,,
miniskirt,,,,,,t=5.22 p=3.21e-07 q=3.86e-06 d=0.57,,t=-6.08 p=3.38e-09 q=6.00e-08 d=0.66,,t=4.98 p=1.05e-06 q=1.13e-05 d=0.55,t=-2.54 p=1.16e-02 q=3.70e-02 d=0.28,
academicgown,t=-3.20 p=1.50e-03 q=6.71e-03 d=0.36,,,,,,t=-2.82 p=5.17e-03 q=1.93e-02 d=0.32,t=4.31 p=2.17e-05 q=1.79e-04 d=0.46,t=-2.50 p=1.32e-02 q=4.13e-02 d=0.29,,t=4.74 p=3.24e-06 q=3.08e-05 d=0.51,t=3.09 p=2.17e-03 q=9.23e-03 d=0.35
pajamas,,,,,,t=3.49 p=5.45e-04 q=2.90e-03 d=0.38,t=-3.04 p=2.56e-03 q=1.05e-02 d=0.33,t=3.48 p=5.76e-04 q=2.98e-03 d=0.38,t=6.92 p=2.88e-11 q=8.34e-10 d=0.78,,t=3.73 p=2.27e-04 q=1.38e-03 d=0.40,
oscilloscope,,,,t=-3.88 p=1.28e-04 q=8.63e-04 d=0.42,,,t=-2.56 p=1.11e-02 q=3.58e-02 d=0.29,t=10.58 p=1.29e-22 q=1.17e-20 d=1.17,t=4.45 p=1.23e-05 q=1.09e-04 d=0.50,,t=-4.43 p=1.30e-05 q=1.14e-04 d=0.49,t=-6.74 p=7.22e-11 q=1.84e-09 d=0.74
suit,,,,t=-5.84 p=1.28e-08 q=1.97e-07 d=0.64,,,,t=6.89 p=3.05e-11 q=8.34e-10 d=0.76,,t=-3.85 p=1.41e-04 q=9.32e-04 d=0.42,,t=8.47 p=1.26e-15 q=6.05e-14 d=0.95
notePC,,,,,,,,t=6.19 p=1.87e-09 q=3.63e-08 d=0.68,t=3.56 p=4.44e-04 q=2.45e-03 d=0.41,,t=3.82 p=1.62e-04 q=1.06e-03 d=0.41,t=6.90 p=3.58e-11 q=9.42e-10 d=0.78
sunscreen,,,,,,,t=-3.38 p=8.20e-04 q=4.07e-03 d=0.37,t=3.56 p=4.36e-04 q=2.42e-03 d=0.38,,t=2.64 p=8.62e-03 q=2.98e-02 d=0.28,,t=-5.98 p=1.08e-08 q=1.70e-07 d=0.71
wig,,,,,,,,,t=3.28 p=1.20e-03 q=5.54e-03 d=0.37,t=-4.95 p=1.21e-06 q=1.28e-05 d=0.55,,
lipstick,,t=2.73 p=6.60e-03 q=2.38e-02 d=0.30,,t=4.82 p=2.39e-06 q=2.35e-05 d=0.54,,t=-2.81 p=5.21e-03 q=1.93e-02 d=0.31,,t=-3.44 p=6.64e-04 q=3.36e-03 d=0.37,t=4.42 p=1.35e-05 q=1.16e-04 d=0.49,,,t=5.72 p=3.36e-08 q=4.73e-07 d=0.59
bra,t=3.02 p=2.69e-03 q=1.08e-02 d=0.33,t=4.27 p=2.62e-05 q=2.08e-04 d=0.47,,t=2.44 p=1.52e-02 q=4.69e-02 d=0.27,,t=5.14 p=4.81e-07 q=5.53e-06 d=0.55,,t=-2.51 p=1.24e-02 q=3.93e-02 d=0.27,,t=3.20 p=1.51e-03 q=6.71e-03 d=0.34,,
windsor,,t=-3.25 p=1.27e-03 q=5.80e-03 d=0.36,,t=-9.87 p=3.31e-20 q=2.70e-18 d=1.09,,,t=-3.62 p=3.44e-04 q=1.98e-03 d=0.41,t=8.31 p=3.66e-15 q=1.66e-13 d=0.93,,t=-3.62 p=3.43e-04 q=1.98e-03 d=0.41,t=3.93 p=1.05e-04 q=7.23e-04 d=0.42,
desk,,,,,,t=3.29 p=1.11e-03 q=5.27e-03 d=0.37,,t=5.94 p=7.50e-09 q=1.20e-07 d=0.65,t=5.54 p=6.91e-08 q=9.25e-07 d=0.62,,,t=8.91 p=3.54e-17 q=1.93e-15 d=0.96
library,,,,t=-3.49 p=5.61e-04 q=2.95e-03 d=0.39,,,,t=5.96 p=7.26e-09 q=1.18e-07 d=0.67,t=3.19 p=1.58e-03 q=6.94e-03 d=0.35,,,t=3.05 p=2.56e-03 q=1.05e-02 d=0.36
