True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs stethoscope,,,,,,,,,,,t=8.86 p=0.00e+00 q=0.00e+00 d=0.61,t=4.60 p=0.00e+00 q=1.00e-04 d=0.40
labcoat vs jeans,,,t=2.54 p=1.21e-02 q=2.96e-02 d=0.22,,,,,,,,t=11.24 p=0.00e+00 q=0.00e+00 d=1.53,t=7.32 p=0.00e+00 q=0.00e+00 d=0.96
labcoat vs cardigan,,t=-3.74 p=3.00e-04 q=1.10e-03 d=0.21,,,,,,t=2.89 p=4.40e-03 q=1.26e-02 d=0.31,,t=2.48 p=1.42e-02 q=3.40e-02 d=0.30,t=11.66 p=0.00e+00 q=0.00e+00 d=1.45,t=12.41 p=0.00e+00 q=0.00e+00 d=1.59
labcoat vs miniskirt,,t=-2.57 p=1.11e-02 q=2.75e-02 d=0.21,,t=-2.51 p=1.31e-02 q=3.17e-02 d=0.22,,,,,,t=2.59 p=1.07e-02 q=2.66e-02 d=0.32,t=7.75 p=0.00e+00 q=0.00e+00 d=0.88,t=8.80 p=0.00e+00 q=0.00e+00 d=0.96
labcoat vs academicgown,,,t=2.34 p=2.06e-02 q=4.68e-02 d=0.19,,,t=4.03 p=1.00e-04 q=4.00e-04 d=0.34,,,t=2.66 p=8.60e-03 q=2.21e-02 d=0.22,,t=5.86 p=0.00e+00 q=0.00e+00 d=0.40,t=4.21 p=0.00e+00 q=2.00e-04 d=0.40
labcoat vs pajamas,,,t=3.04 p=2.80e-03 q=8.50e-03 d=0.22,,,,,,,,t=5.59 p=0.00e+00 q=0.00e+00 d=0.54,
labcoat vs oscilloscope,,,,,,,,,,t=-3.21 p=1.70e-03 q=5.30e-03 d=0.34,t=6.90 p=0.00e+00 q=0.00e+00 d=0.90,
labcoat vs suit,,,t=2.54 p=1.21e-02 q=2.96e-02 d=0.18,,,,,,,t=-4.13 p=1.00e-04 q=3.00e-04 d=0.36,t=3.34 p=1.10e-03 q=3.60e-03 d=0.29,t=4.27 p=0.00e+00 q=2.00e-04 d=0.46
labcoat vs notePC,,t=-2.74 p=6.80e-03 q=1.82e-02 d=0.10,,,,,,,,,t=7.04 p=0.00e+00 q=0.00e+00 d=0.64,
labcoat vs sunscreen,,,,,,,,,,t=4.03 p=1.00e-04 q=4.00e-04 d=0.44,t=9.47 p=0.00e+00 q=0.00e+00 d=1.19,t=8.38 p=0.00e+00 q=0.00e+00 d=1.19
labcoat vs wig,,,,,,,,,,t=-6.91 p=0.00e+00 q=0.00e+00 d=0.70,t=4.78 p=0.00e+00 q=0.00e+00 d=0.46,
labcoat vs lipstick,,,t=2.85 p=5.00e-03 q=1.39e-02 d=0.36,,,t=3.48 p=7.00e-04 q=2.40e-03 d=0.43,t=2.59 p=1.07e-02 q=2.67e-02 d=0.34,,,,t=9.03 p=0.00e+00 q=0.00e+00 d=1.00,t=6.29 p=0.00e+00 q=0.00e+00 d=0.60
labcoat vs bra,,,,,,t=2.83 p=5.40e-03 q=1.48e-02 d=0.33,,t=5.23 p=0.00e+00 q=0.00e+00 d=0.61,t=3.40 p=9.00e-04 q=3.00e-03 d=0.41,t=7.29 p=0.00e+00 q=0.00e+00 d=0.85,t=14.86 p=0.00e+00 q=0.00e+00 d=1.68,t=7.17 p=0.00e+00 q=0.00e+00 d=0.99
labcoat vs windsor,,t=3.04 p=2.80e-03 q=8.50e-03 d=0.15,t=2.67 p=8.40e-03 q=2.18e-02 d=0.19,,,,t=-2.37 p=1.90e-02 q=4.36e-02 d=0.18,,t=2.51 p=1.31e-02 q=3.17e-02 d=0.17,,t=9.88 p=0.00e+00 q=0.00e+00 d=0.65,
labcoat vs desk,,,,,,t=3.01 p=3.10e-03 q=9.20e-03 d=0.27,,t=3.08 p=2.40e-03 q=7.50e-03 d=0.26,,,t=7.63 p=0.00e+00 q=0.00e+00 d=0.99,
labcoat vs library,,,,t=-3.12 p=2.20e-03 q=6.80e-03 d=0.19,,,,,,t=-3.83 p=2.00e-04 q=8.00e-04 d=0.39,t=3.39 p=9.00e-04 q=3.10e-03 d=0.39,t=-6.45 p=0.00e+00 q=0.00e+00 d=0.45
stethoscope vs jeans,,,t=2.34 p=2.06e-02 q=4.69e-02 d=0.26,,,,,,,,t=7.12 p=0.00e+00 q=0.00e+00 d=0.93,t=7.30 p=0.00e+00 q=0.00e+00 d=0.65
stethoscope vs cardigan,,,,t=-2.41 p=1.71e-02 q=3.99e-02 d=0.18,,,,t=2.37 p=1.90e-02 q=4.36e-02 d=0.27,,t=2.89 p=4.50e-03 q=1.26e-02 d=0.36,t=5.45 p=0.00e+00 q=0.00e+00 d=0.71,t=12.75 p=0.00e+00 q=0.00e+00 d=1.14
stethoscope vs miniskirt,,,,t=-4.00 p=1.00e-04 q=4.00e-04 d=0.36,,,,,,t=2.70 p=7.70e-03 q=2.03e-02 d=0.36,t=2.94 p=3.80e-03 q=1.09e-02 d=0.40,t=6.98 p=0.00e+00 q=0.00e+00 d=0.51
stethoscope vs academicgown,,t=2.78 p=6.10e-03 q=1.66e-02 d=0.23,t=2.57 p=1.12e-02 q=2.78e-02 d=0.22,,,,,,,,t=-2.70 p=7.70e-03 q=2.02e-02 d=0.20,
stethoscope vs pajamas,,,t=3.02 p=2.90e-03 q=8.80e-03 d=0.26,,,t=-2.60 p=1.03e-02 q=2.60e-02 d=0.24,,,,t=2.39 p=1.79e-02 q=4.15e-02 d=0.19,t=-2.44 p=1.60e-02 q=3.77e-02 d=0.19,t=-6.00 p=0.00e+00 q=0.00e+00 d=0.59
stethoscope vs oscilloscope,,,,t=-2.39 p=1.79e-02 q=4.15e-02 d=0.17,,t=-3.05 p=2.70e-03 q=8.10e-03 d=0.26,,,,t=-2.75 p=6.70e-03 q=1.79e-02 d=0.32,,t=-2.68 p=8.10e-03 q=2.11e-02 d=0.36
stethoscope vs suit,,t=2.69 p=7.90e-03 q=2.06e-02 d=0.18,t=2.31 p=2.22e-02 q=4.98e-02 d=0.21,,,t=-2.35 p=1.99e-02 q=4.55e-02 d=0.21,,t=-2.79 p=6.00e-03 q=1.63e-02 d=0.24,,t=-3.56 p=5.00e-04 q=1.90e-03 d=0.34,t=-2.42 p=1.65e-02 q=3.87e-02 d=0.26,
stethoscope vs notePC,,,,,,,,,,,,t=-4.60 p=0.00e+00 q=1.00e-04 d=0.51
