True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs stethoscope,,,t=2.38 p=1.81e-02 q=4.20e-02 d=0.05,,,,t=-3.17 p=1.80e-03 q=5.70e-03 d=0.10,,t=3.41 p=8.00e-04 q=2.80e-03 d=0.20,,t=-3.93 p=1.00e-04 q=5.00e-04 d=0.41,t=-15.05 p=0.00e+00 q=0.00e+00 d=1.12
labcoat vs jeans,,,t=-2.33 p=2.10e-02 q=4.76e-02 d=0.15,t=-3.38 p=9.00e-04 q=3.10e-03 d=0.15,,t=2.69 p=7.70e-03 q=2.02e-02 d=0.17,t=4.38 p=0.00e+00 q=1.00e-04 d=0.31,t=2.50 p=1.33e-02 q=3.21e-02 d=0.21,t=3.61 p=4.00e-04 q=1.50e-03 d=0.33,t=-2.66 p=8.60e-03 q=2.23e-02 d=0.24,t=-4.83 p=0.00e+00 q=0.00e+00 d=0.31,t=-4.24 p=0.00e+00 q=2.00e-04 d=0.44
labcoat vs cardigan,,,,t=-3.60 p=4.00e-04 q=1.50e-03 d=0.17,,,t=3.60 p=4.00e-04 q=1.60e-03 d=0.16,t=5.83 p=0.00e+00 q=0.00e+00 d=0.41,t=12.25 p=0.00e+00 q=0.00e+00 d=1.19,,t=-7.64 p=0.00e+00 q=0.00e+00 d=0.90,t=-4.06 p=1.00e-04 q=3.00e-04 d=0.46
labcoat vs miniskirt,,,,t=-3.64 p=4.00e-04 q=1.40e-03 d=0.16,,,t=4.29 p=0.00e+00 q=1.00e-04 d=0.28,t=4.21 p=0.00e+00 q=2.00e-04 d=0.26,t=6.75 p=0.00e+00 q=0.00e+00 d=0.70,,t=-12.90 p=0.00e+00 q=0.00e+00 d=1.36,t=-10.41 p=0.00e+00 q=0.00e+00 d=1.08
labcoat vs academicgown,,t=-3.64 p=4.00e-04 q=1.40e-03 d=0.11,,,t=-2.69 p=7.70e-03 q=2.03e-02 d=0.13,,,t=-5.37 p=0.00e+00 q=0.00e+00 d=0.29,t=-7.86 p=0.00e+00 q=0.00e+00 d=0.57,t=-4.52 p=0.00e+00 q=1.00e-04 d=0.37,t=-9.55 p=0.00e+00 q=0.00e+00 d=0.87,t=9.01 p=0.00e+00 q=0.00e+00 d=0.99
labcoat vs pajamas,,,,t=-2.33 p=2.07e-02 q=4.69e-02 d=0.03,,,t=3.79 p=2.00e-04 q=8.00e-04 d=0.17,t=5.54 p=0.00e+00 q=0.00e+00 d=0.23,t=11.47 p=0.00e+00 q=0.00e+00 d=0.95,,t=-10.24 p=0.00e+00 q=0.00e+00 d=0.82,
labcoat vs oscilloscope,t=-2.81 p=5.50e-03 q=1.52e-02 d=0.24,t=-4.31 p=0.00e+00 q=1.00e-04 d=0.42,,t=-5.88 p=0.00e+00 q=0.00e+00 d=0.56,,,t=6.00 p=0.00e+00 q=0.00e+00 d=0.52,,,t=-2.74 p=6.70e-03 q=1.81e-02 d=0.25,t=-11.46 p=0.00e+00 q=0.00e+00 d=1.17,t=-7.63 p=0.00e+00 q=0.00e+00 d=0.87
labcoat vs suit,,,t=-2.87 p=4.60e-03 q=1.29e-02 d=0.14,,,,,t=-3.40 p=8.00e-04 q=2.90e-03 d=0.25,t=-3.82 p=2.00e-04 q=8.00e-04 d=0.38,,t=-2.63 p=9.30e-03 q=2.38e-02 d=0.18,
labcoat vs notePC,,,,,t=4.15 p=1.00e-04 q=2.00e-04 d=0.22,t=4.73 p=0.00e+00 q=0.00e+00 d=0.13,,,t=6.27 p=0.00e+00 q=0.00e+00 d=0.40,t=2.59 p=1.03e-02 q=2.59e-02 d=0.19,t=-9.60 p=0.00e+00 q=0.00e+00 d=0.67,t=5.47 p=0.00e+00 q=0.00e+00 d=0.45
labcoat vs sunscreen,t=3.06 p=2.60e-03 q=7.80e-03 d=0.05,,t=3.48 p=6.00e-04 q=2.30e-03 d=0.15,,t=3.05 p=2.60e-03 q=7.90e-03 d=0.14,t=3.30 p=1.20e-03 q=3.90e-03 d=0.11,,,,t=3.99 p=1.00e-04 q=4.00e-04 d=0.31,t=-5.85 p=0.00e+00 q=0.00e+00 d=0.42,
